rho_R_multiset_key,rule,class_count,geometry_false,geometry_true
"Q2:0,1|1,0::R=0,1;Q3:0,0,1|1,0,0::R=0,0,1",adjacency_saturation,104,99,5
"Q2:0,1|1,0::R=0,1;Q3:0,0,1|1,0,0|1,1,0::R=0,0,1",adjacency_saturation,88,83,5
"Q2:0,1|1,0::R=0,1;Q3:0,1,0|0,1,1|1,0,0::R=0,1,0|0,1,1;Q3:0,1,1|1,0,1::R=0,1,1",constant_false,1,1,0
"Q2:0,1|1,0::R=0,1;Q3:0,1,0|0,1,1|1,0,1::R=0,1,0|0,1,1",constant_false,432,432,0
"Q2:0,1|1,0::R=0,1;Q3:0,1,0|1,0,0::R=0,1,0;Q3:0,1,1|1,0,1::R=0,1,1",constant_false,1,1,0
"Q2:0,1|1,0::R=0,1;Q3:0,1,0|1,0,0|1,0,1::R=0,1,0",constant_false,277,277,0
"Q2:0,1|1,0::R=0,1;Q3:0,1,1|1,0,0|1,1,0::R=0,1,1",constant_false,5,5,0
"Q2:0,1|1,0::R=0,1;Q3:0,1,1|1,0,1::R=0,1,1",constant_false,13,13,0
"Q2:0,1|1,0::R=0,1;Q3:0,1,1|1,1,0::R=0,1,1",constant_false,1,1,0
"Q2:0,1|1,0::R=0,1;Q3:1,0,1|1,1,0::R=1,0,1",constant_false,40,40,0
"Q2:0,1|1,0::R=1,0",constant_false,4776,4776,0
"Q2:0,1|1,0::R=1,0;Q2:0,1|1,0::R=1,0;Q3:0,1,0|0,1,1|1,0,0|1,0,1::R=1,0,0|1,0,1",constant_false,30,30,0
"Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,0::R=0,1,0",constant_false,138,138,0
"Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,0::R=0,1,0;Q3:0,1,0|1,0,1|1,1,0::R=0,1,0|1,1,0",constant_false,9,9,0
"Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,0|1,0,1::R=0,1,0",constant_false,90,90,0
"Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,0|1,1,0::R=0,1,0|1,1,0",constant_false,8,8,0
"Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,1|1,0,0::R=1,0,0",constant_false,1,1,0
"Q2:0,1|1,0::R=1,0;Q3:0,0,1|1,0,0::R=1,0,0",adjacency_saturation,57,42,15
"Q2:0,1|1,0::R=1,0;Q3:0,0,1|1,0,0|1,1,0::R=1,0,0|1,1,0",adjacency_saturation,44,29,15
"Q2:0,1|1,0::R=1,0;Q3:0,1,1|1,0,1::R=1,0,1",constant_false,13,13,0
"Q2:0,1|1,0::R=1,0;Q3:1,0,1|1,1,0::R=1,1,0",constant_false,6,6,0
"Q3:0,0,1|1,1,0::R=0,0,1",constant_false,7,7,0
"Q3:0,1,0|1,0,1::R=0,1,0",constant_false,33,33,0
"Q3:0,1,1|1,0,0::R=0,1,1",constant_false,3,3,0
